th1,th2,th3,in1,in2,in3,mi1,mi2,mi3,ri1,ri2,ri3,pi1,pi2,pi3,pnx,pny,pnz,hand_side,th_open,in_open,mi_open,ri_open,pi_open,ti_touch,tm_touch
24.479305267333984,26.584768295288086,40.7166633605957,41.03232192993164,124.82123565673828,9.581223487854004,52.572265625,123.39079284667969,109.82463836669922,64.21798706054688,118.99473571777344,91.06800079345703,50.688697814941406,127.26042938232422,60.8937873840332,13.333708763122559,-81.23866271972656,493.1759338378906,1.0,0,0,0,0,0,0,0
23.7686767578125,27.02143096923828,40.55896759033203,41.430606842041016,124.50509643554688,9.455573081970215,54.763675689697266,121.2550277709961,111.03590393066406,65.8328857421875,117.32408142089844,90.67878723144531,51.71971130371094,126.38150787353516,60.857242584228516,9.116637229919434,-80.28186798095703,493.42852783203125,1.0,0,0,0,0,0,0,0
24.43311882019043,26.4060115814209,40.46088409423828,40.98294448852539,123.87962341308594,8.618858337402344,54.71538162231445,121.38228607177734,113.02899932861328,66.83721923828125,116.64508819580078,91.64796447753906,53.19332504272461,125.2560043334961,60.22036361694336,11.370923042297363,-80.03589630126953,493.42169189453125,1.0,0,0,0,0,0,0,0
24.70208740234375,25.889814376831055,41.07745361328125,39.768558502197266,126.44877624511719,8.851921081542969,51.372581481933594,125.14888763427734,110.65093994140625,63.795711517333984,119.90552520751953,90.17117309570312,50.72666931152344,128.02378845214844,59.01264190673828,10.831941604614258,-78.40879821777344,493.6949768066406,1.0,0,0,0,0,0,0,0
25.450153350830078,25.601716995239258,39.68943405151367,40.007537841796875,125.81578063964844,9.447280883789062,53.03759002685547,122.31548309326172,107.26821899414062,64.76699829101562,118.05992889404297,90.23333740234375,52.20643615722656,125.71537780761719,61.524837493896484,2.208921432495117,-82.16703033447266,493.1974182128906,1.0,0,0,0,0,0,0,0
24.6571044921875,26.599546432495117,41.721961975097656,42.218589782714844,124.05896759033203,7.7161545753479,56.12162399291992,119.95679473876953,111.54203796386719,67.64599609375,115.57867431640625,91.87632751464844,54.98125457763672,122.79177856445312,62.97465133666992,9.160107612609863,-78.04833984375,493.7859191894531,1.0,0,0,0,0,0,0,0
23.42058753967285,27.052297592163086,41.49693298339844,41.53520584106445,123.79925537109375,6.886193752288818,55.21587371826172,120.33548736572266,110.52145385742188,65.71218872070312,117.25565338134766,90.0966567993164,51.0726203918457,127.12508392333984,60.497314453125,11.947921752929688,-78.96253967285156,493.5809631347656,1.0,0,0,0,0,0,0,0
24.558853149414062,26.898422241210938,42.01979446411133,40.57029342651367,125.57555389404297,5.978858470916748,54.598419189453125,121.35714721679688,111.61890411376953,65.21976470947266,117.97665405273438,93.15931701660156,52.522552490234375,125.7635269165039,63.03286361694336,11.652243614196777,-75.66307067871094,494.1045837402344,1.0,0,0,0,0,0,0,0
23.598581314086914,26.785472869873047,40.10469055175781,40.047119140625,125.40855407714844,3.9705429077148438,51.64234161376953,124.22886657714844,110.66378784179688,63.12306594848633,120.0477066040039,91.58927917480469,51.19260025024414,127.05899047851562,61.12388229370117,16.237154006958008,-76.34004974365234,493.8709716796875,1.0,0,0,0,0,0,0,0
24.747631072998047,27.13719940185547,43.639183044433594,38.5634880065918,128.2152557373047,7.505577087402344,53.49220275878906,122.601806640625,112.92008209228516,65.1953353881836,117.9962158203125,94.12642669677734,52.737857818603516,125.68647766113281,64.34494018554688,9.231939315795898,-75.09693908691406,494.2420654296875,1.0,0,0,0,0,0,0,0
