th1,th2,th3,in1,in2,in3,mi1,mi2,mi3,ri1,ri2,ri3,pi1,pi2,pi3,pnx,pny,pnz,hand_side,th_open,in_open,mi_open,ri_open,pi_open,ti_touch,tm_touch
22.521564483642578,4.807448863983154,6.251376152038574,9.760137557983398,6.670831680297852,4.28324556350708,5.923119068145752,8.762628555297852,3.1846795082092285,3.9128642082214355,6.2801923751831055,5.894530773162842,7.294820785522461,4.668589115142822,7.16639518737793,63.004844665527344,121.92853546142578,-480.79498291015625,0.0,1,1,1,1,1,0,0
23.080720901489258,4.934133052825928,6.733813285827637,9.776220321655273,6.856808185577393,4.255488395690918,5.925683975219727,9.584692001342773,3.2592837810516357,4.1859869956970215,5.990262508392334,5.8907856941223145,7.315731525421143,4.742615699768066,7.269240379333496,57.643497467041016,118.1303482055664,-482.41314697265625,0.0,1,1,1,1,1,0,0
22.709692001342773,4.341836452484131,4.584875583648682,9.95838737487793,7.473703384399414,4.4725470542907715,6.04926872253418,9.175484657287598,3.1999387741088867,4.162600994110107,6.488687515258789,5.901583671569824,7.50460147857666,4.784834384918213,6.846395015716553,67.81085968017578,119.8686294555664,-480.65911865234375,0.0,1,1,1,1,1,0,0
23.023681640625,4.103732109069824,3.893747568130493,9.706528663635254,6.956172943115234,4.3690619468688965,5.824620723724365,8.680132865905762,3.1124422550201416,3.998854875564575,6.386011600494385,5.85317850112915,7.175860404968262,4.695666313171387,6.926141738891602,66.56092071533203,119.16680145263672,-481.00823974609375,0.0,1,1,1,1,1,0,0
22.676048278808594,4.370228290557861,3.505227565765381,9.777119636535645,6.761958599090576,4.510897636413574,5.744405746459961,8.334912300109863,3.2168591022491455,3.853489398956299,6.4171857833862305,6.033202648162842,6.190666198730469,5.258851528167725,6.966543197631836,62.299861907958984,120.64079284667969,-481.2115173339844,0.0,1,1,1,1,1,0,0
22.507781982421875,3.847548723220825,3.2159810066223145,10.093524932861328,7.159936904907227,4.655251502990723,6.004302024841309,8.677337646484375,3.334782123565674,4.054266929626465,6.6505513191223145,5.971231460571289,5.974493503570557,5.302113056182861,6.992212295532227,62.982723236083984,120.14168548583984,-481.24749755859375,0.0,1,1,1,1,1,0,0
22.135025024414062,3.8048789501190186,3.36991024017334,9.941008567810059,7.262312412261963,4.693399906158447,5.711488723754883,9.019041061401367,3.3191323280334473,3.8086910247802734,6.463859558105469,5.947721481323242,5.822967052459717,5.1115193367004395,6.943836688995361,61.677032470703125,119.2360610961914,-481.64166259765625,0.0,1,1,1,1,1,0,0
22.621057510375977,3.3513686656951904,3.6514148712158203,10.106023788452148,7.337486267089844,4.640198230743408,5.689885139465332,8.814912796020508,3.3096766471862793,3.782904863357544,6.596770763397217,5.964954853057861,5.811654090881348,5.3049821853637695,6.951060771942139,65.94316101074219,117.91065216064453,-481.4027099609375,0.0,1,1,1,1,1,0,0
23.135717391967773,3.6368277072906494,4.113105297088623,9.821100234985352,7.043327808380127,4.450783729553223,5.620815277099609,8.622665405273438,3.148730754852295,3.7270054817199707,6.30794620513916,5.849689483642578,5.815664291381836,5.031417369842529,6.809082508087158,63.19657897949219,115.47467803955078,-482.36065673828125,0.0,1,1,1,1,1,0,0
22.736684799194336,3.7076575756073,4.019883632659912,10.102165222167969,7.377434730529785,4.560956954956055,5.8596391677856445,8.879956245422363,3.390489339828491,3.952934741973877,6.208362579345703,5.968112945556641,5.574282169342041,5.374149322509766,6.78660249710083,62.78318405151367,116.1521987915039,-482.251953125,0.0,1,1,1,1,1,0,0
22.57428550720215,3.552065372467041,4.056595802307129,10.140015602111816,7.457071781158447,4.623220443725586,5.654451370239258,8.315086364746094,3.258023977279663,3.893669605255127,6.347010612487793,5.981431007385254,5.805578231811523,5.485321998596191,6.899266719818115,62.81238555908203,115.67530059814453,-482.3627624511719,0.0,1,1,1,1,1,0,0
23.513179779052734,3.536747455596924,4.549003601074219,10.358807563781738,8.010912895202637,4.74155855178833,5.85572624206543,8.753310203552246,3.4985287189483643,4.124980449676514,6.300445079803467,6.239870071411133,5.712925910949707,5.130551338195801,6.965919017791748,62.62892150878906,115.48567199707031,-482.4320373535156,0.0,1,1,1,1,1,0,0
22.64827537536621,3.875701665878296,3.420114278793335,10.398741722106934,8.201471328735352,4.881603717803955,5.950253963470459,9.021286010742188,3.5857770442962646,4.118954658508301,6.739742755889893,6.273257732391357,5.772627830505371,5.36652946472168,6.8741302490234375,62.115360260009766,117.44688415527344,-482.0248107910156,0.0,1,1,1,1,1,0,0
21.912269592285156,4.374131679534912,3.3912315368652344,10.472838401794434,8.461881637573242,5.102869510650635,6.085134029388428,9.416626930236816,3.7888646125793457,4.129920482635498,6.921290397644043,6.465710639953613,5.667141437530518,5.443763256072998,7.025882720947266,61.22058868408203,117.8065414428711,-482.051513671875,0.0,1,1,1,1,1,0,0
21.754980087280273,4.1851959228515625,3.4740188121795654,10.32718563079834,8.07066822052002,5.046016693115234,5.681203365325928,8.924456596374512,3.6924169063568115,3.958458662033081,7.201238632202148,6.616170406341553,5.626266956329346,5.397491931915283,7.2222371101379395,61.831573486328125,116.4771499633789,-482.2965087890625,0.0,1,1,1,1,1,0,0
21.960744857788086,3.698244094848633,3.279825448989868,10.547063827514648,8.400622367858887,5.2883219718933105,5.741872310638428,9.16342544555664,3.993079662322998,4.065745830535889,7.413848400115967,6.931057929992676,5.153475761413574,5.747734546661377,7.44891881942749,59.221675872802734,116.95553588867188,-482.50823974609375,0.0,1,1,1,1,1,0,0
21.716623306274414,3.7906579971313477,3.0729119777679443,11.326193809509277,9.611923217773438,5.843406677246094,6.451728343963623,10.48077392578125,4.603883743286133,4.625678062438965,8.833701133728027,7.578554630279541,5.237290859222412,6.41649866104126,7.7677154541015625,65.6374282836914,117.27136993408203,-481.6006164550781,0.0,1,1,1,1,1,0,0
21.869861602783203,4.069790363311768,3.449571132659912,11.924232482910156,10.07233715057373,6.424959659576416,7.010058879852295,11.956039428710938,6.079857349395752,5.46724271774292,10.914925575256348,9.150769233703613,5.655341625213623,6.687862873077393,8.695088386535645,64.4178466796875,111.2193603515625,-483.19830322265625,0.0,1,1,1,1,1,0,0
